0.96082,0.00,0.90903,0.90833,0.81609,0.94234,0.00,0.94597,0.90286,0.95619,0.95904,0.00,0.00,0.95674,0.92550,0.92344,0.94234,0.90246,0.00,0.91365,0.94195,0.95619,0.93278,0.95918,0.95144,0.93678,0.93876,0.95910,0.00,0.00,0.72122,0.00,0.00,0.00,0.95117,0.00,0.00,0.95117,0.00,0.90765,0.00,0.93251,0.90281,0.00,0.96426,0.90765,0.00,0.00,0.00,0.00,0.94217,0.94013,0.00,0.94195,0.94013,0.94859,0.93858,0.95685,0.94818,0.94077,0.00,0.00,0.92545,0.95595,0.94217,0.00,0.93278,0.94234,0.93876,0.00,0.00,0.91718,0.00,0.81990,0.92344,0.91982,0.94013,0.95685,0.92344,0.95144,0.00,0.94934,0.00,0.95790
0.93667,0.00,0.81609,0.95157,0.90903,0.91298,0.00,0.94486,0.89777,0.95620,0.95861,0.00,0.00,0.95841,0.90250,0.92344,0.91298,0.90395,0.00,0.91882,0.95883,0.95620,0.94462,0.95275,0.95067,0.93897,0.96002,0.95674,0.00,0.00,0.72100,0.00,0.00,0.00,0.92447,0.00,0.00,0.92447,0.00,0.89858,0.00,0.83829,0.89747,0.00,0.94700,0.89858,0.00,0.00,0.00,0.00,0.95903,0.94013,0.00,0.95685,0.94013,0.95593,0.93713,0.94195,0.93833,0.96491,0.00,0.00,0.89820,0.00,0.95903,0.00,0.90278,0.91298,0.96002,0.00,0.00,0.87695,0.00,0.83416,0.94538,0.91873,0.94013,0.92551,0.94538,0.95067,0.00,0.00,0.00,0.86797
0.95619,0.00,0.93474,0.94567,0.93474,0.95625,0.00,0.92024,0.96225,0.95631,0.95793,0.00,0.00,0.95704,0.92594,0.92344,0.95625,0.92598,0.00,0.95625,0.93676,0.95631,0.88493,0.95674,0.95012,0.93679,0.94592,0.95841,0.00,0.00,0.72116,0.00,0.00,0.00,0.92344,0.00,0.00,0.92344,0.00,0.93452,0.00,0.58173,0.96242,0.00,0.96338,0.93452,0.00,0.00,0.00,0.00,0.93649,0.94013,0.00,0.95883,0.94013,0.94284,0.93749,0.92551,0.95586,0.96082,0.00,0.00,0.94272,0.00,0.93649,0.00,0.54910,0.95625,0.94592,0.00,0.00,0.92385,0.00,0.73186,0.91669,0.92111,0.94013,0.94195,0.91669,0.95012,0.00,0.00,0.00,0.70499
0.95620,0.00,0.85767,0.96183,0.85767,0.94780,0.00,0.92925,0.92571,0.95622,0.95953,0.00,0.00,0.52310,0.90250,0.92344,0.94780,0.88719,0.00,0.00,0.92551,0.95622,0.90323,0.95674,0.95223,0.93890,0.93367,0.95704,0.00,0.00,0.72119,0.00,0.00,0.00,0.95457,0.00,0.00,0.95457,0.00,0.90831,0.00,0.81965,0.92609,0.00,0.95576,0.90831,0.00,0.00,0.00,0.00,0.92561,0.94013,0.00,0.92551,0.94013,0.94890,0.93858,0.95883,0.95378,0.95577,0.00,0.00,0.94448,0.00,0.92561,0.00,0.92187,0.94780,0.93367,0.00,0.00,0.92706,0.00,0.82423,0.91240,0.86428,0.94013,0.95883,0.91240,0.95223,0.00,0.00,0.00,0.64499
0.95631,0.00,0.90632,0.94898,0.90632,0.94518,0.00,0.94410,0.93891,0.95582,0.95998,0.00,0.00,0.53122,0.90259,0.92344,0.94518,0.90017,0.00,0.00,0.95685,0.95578,0.94866,0.92974,0.95039,0.94181,0.95538,0.95226,0.00,0.00,0.72127,0.00,0.00,0.00,0.90888,0.00,0.00,0.90888,0.00,0.85351,0.00,0.90912,0.92567,0.00,0.96467,0.85351,0.00,0.00,0.00,0.00,0.94818,0.94013,0.00,0.93676,0.94013,0.92561,0.93713,0.93676,0.95461,0.93569,0.00,0.00,0.91729,0.00,0.94818,0.00,0.93460,0.94518,0.95538,0.00,0.00,0.91881,0.00,0.81990,0.92460,0.86148,0.94013,0.93676,0.92460,0.95039,0.00,0.00,0.00,0.53881
0.32465,0.00,0.32610,0.32853,0.00,0.33111,0.00,0.33803,0.00,0.32736,0.61833,0.00,0.00,0.33126,0.31589,0.00,0.33111,0.31589,0.00,0.35636,0.33127,0.32736,0.33186,0.32599,0.33181,0.32581,0.35120,0.33721,0.00,0.00,0.34881,0.00,0.00,0.00,0.00,0.33180,0.00,0.32285,0.00,0.32610,0.00,0.47176,0.35908,0.00,0.32487,0.00,0.33035,0.34637,0.00,0.00,0.33127,0.00,0.00,0.00,0.00,0.33067,0.33377,0.00,0.33202,0.33375,0.00,0.00,0.32313,0.31252,0.33127,0.00,0.32886,0.33111,0.35120,0.00,0.00,0.32809,0.00,0.77601,0.33497,0.76613,0.00,0.00,0.33497,0.33245,0.00,0.00,0.32560,0.32707
0.32562,0.00,0.32673,0.33170,0.00,0.33272,0.00,0.34154,0.00,0.32742,0.67496,0.00,0.00,0.32781,0.33183,0.00,0.33272,0.33963,0.00,0.32919,0.33968,0.32742,0.33509,0.34865,0.33077,0.37176,0.35218,0.33094,0.00,0.00,0.36841,0.00,0.00,0.00,0.00,0.00,0.00,0.56708,0.00,0.32673,0.00,0.32315,0.34823,0.00,0.32747,0.00,0.33152,0.33127,0.00,0.00,0.33043,0.00,0.00,0.00,0.00,0.34335,0.33185,0.00,0.33451,0.34831,0.00,0.00,0.32483,0.00,0.33043,0.00,0.34567,0.33272,0.35218,0.00,0.00,0.32880,0.00,0.72549,0.75351,0.61217,0.00,0.00,0.75351,0.33165,0.00,0.00,0.35330,0.49573
0.32965,0.00,0.33094,0.32912,0.00,0.35345,0.00,0.33862,0.00,0.32859,0.63178,0.00,0.00,0.32599,0.33127,0.00,0.35345,0.34925,0.00,0.33605,0.34569,0.32841,0.34497,0.68157,0.32741,0.34668,0.32812,0.34953,0.00,0.00,0.32618,0.00,0.00,0.00,0.00,0.00,0.00,0.51927,0.00,0.33094,0.00,0.35385,0.34013,0.00,0.32542,0.00,0.33211,0.38887,0.00,0.00,0.33183,0.00,0.00,0.00,0.00,0.35623,0.32766,0.00,0.34390,0.33056,0.00,0.00,0.32500,0.00,0.33183,0.00,0.33177,0.35345,0.32812,0.00,0.00,0.32905,0.00,0.33260,0.66699,0.72795,0.00,0.00,0.66699,0.33227,0.00,0.00,0.68991,0.27013
0.32731,0.00,0.31948,0.74711,0.00,0.34584,0.00,0.34448,0.00,0.32841,0.65835,0.00,0.00,0.50266,0.59682,0.00,0.34584,0.49014,0.00,0.57631,0.33217,0.32859,0.22446,0.32599,0.33097,0.39521,0.34244,0.33126,0.00,0.00,0.34264,0.00,0.00,0.00,0.00,0.00,0.00,0.32809,0.00,0.31948,0.00,0.70860,0.73367,0.00,0.32733,0.00,0.33174,0.36343,0.00,0.00,0.33450,0.00,0.00,0.00,0.00,0.33922,0.32754,0.00,0.33127,0.32846,0.00,0.00,0.33650,0.00,0.33450,0.00,0.32992,0.34584,0.34958,0.00,0.00,0.66916,0.00,0.78515,0.33335,0.72557,0.00,0.00,0.33335,0.33324,0.00,0.00,0.35261,0.73674
0.32689,0.00,0.35659,0.33375,0.00,0.71450,0.00,0.34874,0.00,0.32991,0.65458,0.00,0.00,0.68395,0.60506,0.00,0.71450,0.34734,0.00,0.33649,0.34618,0.32991,0.00,0.34931,0.33012,0.33434,0.34958,0.34657,0.00,0.00,0.33306,0.00,0.00,0.00,0.00,0.00,0.00,0.62996,0.00,0.35659,0.00,0.34012,0.85291,0.00,0.34500,0.00,0.32903,0.37991,0.00,0.00,0.34130,0.00,0.00,0.00,0.00,0.66444,0.33172,0.00,0.33970,0.33040,0.00,0.00,0.34548,0.00,0.34130,0.00,0.33339,0.71450,0.33084,0.00,0.00,0.35608,0.00,0.54140,0.60506,0.72625,0.00,0.00,0.60506,0.33843,0.00,0.00,0.59694,0.60772
0.78968,0.66518,0.65431,0.96373,0.00,0.73240,0.00,0.79396,0.65000,0.73832,0.66148,0.76088,0.00,0.66399,0.72667,0.00,0.73240,0.71286,0.66518,0.70139,0.72041,0.78968,0.84477,0.66399,0.83939,0.61539,0.70469,0.66383,0.00,0.00,0.79504,0.56022,0.54908,0.66518,0.00,0.63293,0.00,0.95873,0.68881,0.64672,0.65437,0.78789,0.00,0.00,0.66588,0.00,0.67385,0.56215,0.00,0.97019,0.72041,0.00,0.55713,0.00,0.00,0.68317,0.66996,0.00,0.77232,0.78968,0.55713,0.00,0.65072,0.68881,0.72041,0.00,0.63322,0.73240,0.70469,0.56158,0.83028,0.97019,0.56158,0.80278,0.78287,0.55564,0.00,0.00,0.78287,0.66625,0.00,0.68377,0.56151,0.96294
0.74327,0.83028,0.64677,0.69351,0.00,0.65656,0.00,0.79897,0.77085,0.63601,0.67523,0.00,0.00,0.75132,0.72041,0.00,0.65656,0.66858,0.83028,0.69787,0.75550,0.74327,0.60705,0.66399,0.81800,0.63282,0.64921,0.64119,0.00,0.00,0.80313,0.60955,0.57006,0.65272,0.00,0.64596,0.00,0.93388,0.55611,0.65468,0.65540,0.65803,0.00,0.00,0.65064,0.00,0.56315,0.56214,0.00,0.00,0.75550,0.00,0.56072,0.00,0.00,0.64856,0.79271,0.00,0.74815,0.78883,0.56072,0.00,0.85714,0.00,0.75550,0.00,0.64704,0.65656,0.64921,0.56275,0.85053,0.96790,0.56275,0.63176,0.87176,0.55451,0.00,0.00,0.87176,0.65166,0.00,0.00,0.56151,0.56839
0.75106,0.85053,0.65425,0.74445,0.00,0.72217,0.00,0.77930,0.83454,0.78968,0.70309,0.00,0.00,0.75132,0.64553,0.00,0.72217,0.65982,0.85053,0.73706,0.71657,0.75106,0.61982,0.72041,0.86310,0.60086,0.80349,0.65463,0.00,0.00,0.81613,0.56072,0.76610,0.82503,0.00,0.63808,0.00,0.96034,0.56903,0.63579,0.60223,0.80427,0.00,0.00,0.72060,0.00,0.77944,0.56215,0.00,0.00,0.71657,0.00,0.55823,0.00,0.00,0.81629,0.79116,0.00,0.75414,0.81904,0.55823,0.00,0.82809,0.00,0.71657,0.00,0.84908,0.72217,0.80349,0.15585,0.65440,0.97017,0.15585,0.79647,0.78150,0.55877,0.00,0.00,0.78150,0.71909,0.00,0.00,0.56151,0.63533
0.73832,0.65440,0.63541,0.80485,0.00,0.70253,0.00,0.79989,0.66725,0.75106,0.62265,0.00,0.00,0.81290,0.60499,0.00,0.70253,0.72667,0.65440,0.70025,0.68492,0.73832,0.66285,0.64775,0.82117,0.67273,0.76542,0.82910,0.00,0.00,0.66628,0.59856,0.62163,0.78366,0.00,0.63245,0.00,0.95141,0.57856,0.65430,0.68465,0.65187,0.00,0.00,0.73215,0.00,0.56317,0.55689,0.00,0.00,0.68492,0.00,0.50617,0.00,0.00,0.65070,0.64864,0.00,0.81629,0.84217,0.50617,0.00,0.80401,0.00,0.68492,0.00,0.63655,0.70253,0.76542,0.56123,0.67638,0.96714,0.56123,0.85300,0.76369,0.55598,0.00,0.00,0.76369,0.72310,0.00,0.00,0.56151,0.59756
0.81904,0.65272,0.67809,0.78847,0.00,0.68800,0.00,0.73523,0.78382,0.64066,0.66829,0.00,0.00,0.69543,0.57854,0.00,0.68800,0.68123,0.65272,0.74449,0.67554,0.68566,0.76599,0.78040,0.84279,0.60184,0.80916,0.79711,0.00,0.00,0.64835,0.60035,0.68492,0.71494,0.00,0.64896,0.00,0.94250,0.66577,0.67776,0.69914,0.56241,0.00,0.00,0.70528,0.00,0.70237,0.55776,0.00,0.00,0.67554,0.00,0.52951,0.00,0.00,0.78141,0.66996,0.00,0.68693,0.73832,0.52951,0.00,0.76089,0.00,0.67554,0.00,0.63917,0.68800,0.80916,0.57985,0.83758,0.97049,0.57985,0.68283,0.75956,0.55670,0.00,0.00,0.75956,0.76749,0.00,0.00,0.71924,0.58098
0.87863,0.00,0.83881,0.90216,0.00,0.91646,0.00,0.88376,0.89716,0.86757,0.62433,0.00,0.00,0.38487,0.81574,0.00,0.91646,0.82783,0.00,0.54152,0.79854,0.86757,0.80620,0.40384,0.78092,0.90253,0.34800,0.36942,0.00,0.00,0.40382,0.00,0.00,0.00,0.00,0.00,0.00,0.85545,0.00,0.70350,0.00,0.87235,0.89685,0.24920,0.46260,0.00,0.53306,0.69595,0.00,0.00,0.60407,0.00,0.00,0.00,0.00,0.47645,0.24920,0.00,0.43094,0.89635,0.00,0.00,0.87059,0.51403,0.60407,0.00,0.66282,0.91646,0.34800,0.00,0.00,0.81022,0.00,0.76539,0.38838,0.63056,0.00,0.00,0.38838,0.19830,0.00,0.32339,0.60415,0.82029
0.89679,0.00,0.65637,0.53936,0.00,0.43262,0.00,0.86966,0.87079,0.86585,0.68579,0.00,0.00,0.40384,0.74425,0.00,0.43262,0.64152,0.00,0.66308,0.48034,0.86585,0.56645,0.38487,0.81196,0.89201,0.89838,0.38487,0.00,0.00,0.34365,0.00,0.00,0.00,0.00,0.00,0.00,0.77142,0.00,0.85669,0.00,0.53571,0.86966,0.36573,0.40879,0.00,0.52887,0.52176,0.00,0.00,0.43199,0.00,0.00,0.00,0.00,0.49041,0.36573,0.00,0.41864,0.88422,0.00,0.00,0.86843,0.00,0.80184,0.00,0.58104,0.43262,0.89838,0.00,0.00,0.83976,0.00,0.65208,0.34550,0.63047,0.00,0.00,0.34550,0.19917,0.00,0.00,0.79919,0.83916
0.86765,0.00,0.70350,0.81653,0.00,0.56205,0.00,0.86979,0.86126,0.87944,0.67942,0.00,0.00,0.34819,0.82783,0.00,0.56205,0.50006,0.00,0.53442,0.54126,0.87944,0.52605,0.38461,0.82313,0.77757,0.80436,0.40384,0.00,0.00,0.36845,0.00,0.00,0.00,0.00,0.00,0.00,0.80673,0.00,0.89514,0.00,0.51063,0.86127,0.40478,0.37096,0.00,0.53279,0.52640,0.00,0.00,0.48713,0.00,0.00,0.00,0.00,0.21659,0.40478,0.00,0.41302,0.88734,0.00,0.00,0.87487,0.00,0.47873,0.00,0.68784,0.56205,0.80436,0.00,0.00,0.84118,0.00,0.76161,0.33359,0.62884,0.00,0.00,0.33359,0.19924,0.00,0.00,0.48364,0.89724
0.88018,0.00,0.52060,0.85726,0.00,0.89197,0.00,0.87778,0.86593,0.87313,0.68864,0.00,0.00,0.37313,0.65450,0.00,0.89197,0.39859,0.00,0.67386,0.49256,0.88372,0.49892,0.37704,0.81568,0.87151,0.90536,0.41695,0.00,0.00,0.39424,0.00,0.00,0.00,0.00,0.00,0.00,0.43098,0.00,0.67001,0.00,0.82190,0.86619,0.42502,0.43094,0.00,0.51160,0.55207,0.00,0.00,0.32698,0.00,0.00,0.00,0.00,0.42828,0.42502,0.00,0.47873,0.90270,0.00,0.00,0.87018,0.00,0.55767,0.00,0.54102,0.89197,0.90536,0.00,0.00,0.84892,0.00,0.65756,0.20840,0.62501,0.00,0.00,0.20840,0.20053,0.00,0.00,0.51223,0.82714
0.87944,0.00,0.67001,0.81469,0.00,0.86868,0.00,0.87639,0.86479,0.88372,0.52596,0.00,0.00,0.44711,0.63547,0.00,0.86868,0.44924,0.00,0.54608,0.50731,0.89394,0.70013,0.35556,0.80291,0.82561,0.89824,0.34860,0.00,0.00,0.35557,0.00,0.00,0.00,0.00,0.00,0.00,0.36021,0.00,0.82820,0.00,0.49866,0.86527,0.38648,0.41864,0.00,0.58440,0.55019,0.00,0.00,0.29841,0.00,0.00,0.00,0.00,0.49680,0.38648,0.00,0.53999,0.89499,0.00,0.00,0.87707,0.00,0.53999,0.00,0.58767,0.86868,0.89824,0.00,0.00,0.87075,0.00,0.76583,0.22909,0.62973,0.00,0.00,0.22909,0.20058,0.00,0.00,0.31057,0.61385
